id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6428,CJS4,,Moose Jaw Municipal Airport,Moose Jaw,Saskatchewan,CA,1896,50.43420029,-105.387001,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6429,CJS5,,Killarney Municipal Airport,Killarney,Manitoba,CA,1680,49.15169907,-99.69029999,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6430,CJS7,,Carman (South) Airport,Carman,Manitoba,CA,870,49.4803009,-98.01499939,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6431,CJT2,,Matheson Island Airport,Matheson Island,Manitoba,CA,725,51.73220062,-96.93440247,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6432,CJT3,,Knee Lake Airport,Knee Lake,Manitoba,CA,625,54.91529846,-94.79810333,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6433,CJT4,,Cumberland House Airport,Cumberland House,Saskatchewan,CA,877,53.95610046,-102.2979965,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6434,CJT5,,Melita Airport,Melita,Manitoba,CA,1475,49.26169968,-101.0139999,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6435,CJT8,,Homewood Airport,Homewood,Manitoba,CA,815,49.50920105,-97.8506012,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6436,CJT9,,Leoville Airport,Leoville,Saskatchewan,CA,1960,53.62060165,-107.6090012,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6437,CJU3,,Macdonald Airport,Macdonald,Manitoba,CA,840,50.09640121,-98.50080109,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6438,CJU4,,Humboldt Airport,Humboldt,Saskatchewan,CA,1865,52.17610168,-105.1269989,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6439,CJU5,,Minnedosa Airport,Minnedosa,Manitoba,CA,1840,50.27190018,-99.76309967,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6440,CJU6,,Arborg Airport,Arborg,Manitoba,CA,765,50.91279984,-97.30439758,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6441,CJU7,,Edam Airport,Edam,Saskatchewan,CA,1790,53.18500137,-108.7890015,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6442,CJV2,,Neilburg Airport,Neilburg,Saskatchewan,CA,2222,52.83140183,-109.6399994,America/Edmonton,2020-08-18 12:04:00,2020-08-18 12:04:00
6443,CJV4,,Otter Lake Airport,Otter Lake,Saskatchewan,CA,1300,55.58110046,-104.7850037,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6444,CJV5,,Neepawa Airport,Neepawa,Manitoba,CA,1277,50.23279953,-99.51059723,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6445,CJV7,SUR,Summer Beaver Airport,Summer Beaver,Ontario,CA,832,52.70859909,-88.54190063,America/Toronto,2020-08-18 12:04:00,2020-08-18 12:04:00
