20025,SACE,,Escuela De Aviacion Militar Airport,Santa Isabel - Cordoba,Cordoba,AR,1646,-31.44499969,-64.2838974,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20026,SACI,,Pilar Airport,Pilar,Cordoba,AR,1072,-31.68199921,-63.86380005,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20027,SACL,,Laguna Larga Airport,Laguna Larga,Cordoba,AR,1013,-31,-63,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20028,SACM,,Villa General Mitre Airport,Villa General Mitre,Cordoba,AR,1760,-30.70059967,-64.04309845,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20029,SACN,,Ascochinga Airport,Ascochinga,Cordoba,AR,677,-30.9679203,-64.27774048,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20030,SACO,COR,Ingeniero Ambrosio Taravella Airport,Cordoba,Cordoba,AR,1604,-31.32360077,-64.20800018,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20031,SACP,,Chepes Airport,Chepes,La-Rioja,AR,714,-31.35614204,-66.59188843,America/Argentina/La_Rioja,2020-08-18 12:04:00,2020-08-18 12:04:00
20032,SACQ,,Monte Quemado Airport,Monte Quemado,Santiago-del-Estero,AR,1242,-26.15979958,-64.40910339,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20033,SACS,,Villa De Soto Airport,Villa de Soto,Cordoba,AR,2013,-30.86520004,-64.97899628,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20034,SACT,,Chamical Airport,Gobernador Gordillo,La-Rioja,AR,1502,-30.34530067,-66.29360199,America/Argentina/La_Rioja,2020-08-18 12:04:00,2020-08-18 12:04:00
20035,SACV,,Villa de Maria de Rio Seco Airport,Villa de Maria de Rio Seco,Cordoba,AR,0,-29.9,-63.683,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
