id,tail_num,modelID,avionics,createdAt,updatedAt
76,N19900,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
77,N471PR,733,,2020-08-18 10:25:00,2020-08-18 10:25:00
78,N913SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
79,N701BR,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
80,N983SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
81,N494CA,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
82,N920SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
83,N824AS,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
84,N934SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
85,N740SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
86,N758SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
87,N782SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
88,N446SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
89,N439SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
90,N454SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
91,N449SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
92,N685BR,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
93,N903SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
94,N969SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
95,N980SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
96,N964SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
97,N965SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
98,N923SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
99,N702BR,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
100,N962SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
101,N978SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
102,N909SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
103,N925SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
104,N930SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
105,N937SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
106,N952SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
107,N927SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
108,N495CA,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
109,N943SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
110,N472CA,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
111,N440SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
112,N675BR,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
113,N797SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
114,N716SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
115,N766SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
116,N703SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
117,N750SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
118,N708SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
119,N954SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
120,N946SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
121,N986SW,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
122,N507CA,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
123,N785SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
124,N767SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
125,N795SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
126,N784SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
127,N929EV,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
128,N705SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
129,N744SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
130,N718SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
131,N715SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
132,N762SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
133,N792SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
134,N752SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
135,N773SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
136,N757SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
137,N754SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
138,N789SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
139,N772SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
140,N760SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
141,N652BR,668,,2020-08-18 10:25:00,2020-08-18 10:25:00
142,N702SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
143,N763SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
144,N796SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
145,N745SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
146,N778SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
147,N751SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
148,N779SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
149,N791SK,677,,2020-08-18 10:25:00,2020-08-18 10:25:00
